epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.3041,1.67702,2.76968,1.81112,0.35376,0.39062,0.32387,0.1336,2.01757,2.51341,2.3212,0.00032963,0.00032963,0.0673667
2,35.6873,1.65053,2.0406,1.74709,0.28156,0.45338,0.27458,0.11217,2.09682,3.00018,2.41385,0.000649836,0.000649836,0.0343535
3,51.801,1.60705,1.88688,1.71913,0.51074,0.46266,0.40192,0.14895,2.12484,2.60118,2.39218,0.000956843,0.000956843,0.00132721
4,67.8235,1.58366,1.83063,1.72046,0.42883,0.56543,0.53732,0.22754,1.83272,1.9573,2.01316,0.0009406,0.0009406,0.0009406
5,83.8198,1.57003,1.78469,1.69096,0.605,0.50848,0.49952,0.21811,1.93519,1.85711,2.00753,0.0009208,0.0009208,0.0009208
6,99.982,1.57097,1.77359,1.69493,0.45753,0.5728,0.50952,0.22577,1.90134,1.79047,2.05901,0.000901,0.000901,0.000901
7,116.375,1.5387,1.69792,1.66125,0.71082,0.46345,0.56102,0.25197,1.83561,1.84295,1.96951,0.0008812,0.0008812,0.0008812
8,132.844,1.51912,1.63439,1.64907,0.51045,0.61392,0.61443,0.27325,1.7447,1.74405,1.88623,0.0008614,0.0008614,0.0008614
9,149.428,1.49932,1.63337,1.63537,0.63626,0.4753,0.55331,0.22569,1.92754,1.9416,2.12676,0.0008416,0.0008416,0.0008416
10,166.025,1.51944,1.63465,1.63558,0.42936,0.61099,0.51422,0.22967,1.78675,1.92626,1.8837,0.0008218,0.0008218,0.0008218
11,182.498,1.50353,1.6315,1.62515,0.50271,0.54676,0.55136,0.24477,1.80426,1.77941,1.94167,0.000802,0.000802,0.000802
12,198.94,1.46236,1.57758,1.61197,0.7383,0.55749,0.64164,0.28867,1.72474,1.60392,1.85609,0.0007822,0.0007822,0.0007822
13,215.406,1.4775,1.58176,1.62056,0.73444,0.49909,0.6258,0.28512,1.76176,1.61925,1.90148,0.0007624,0.0007624,0.0007624
14,231.935,1.4691,1.54869,1.61106,0.49453,0.65716,0.62521,0.26301,1.85784,1.6286,1.92636,0.0007426,0.0007426,0.0007426
15,248.436,1.42244,1.5323,1.5894,0.54811,0.64972,0.65058,0.31085,1.65189,1.49136,1.81527,0.0007228,0.0007228,0.0007228
16,264.885,1.41513,1.49766,1.57598,0.56327,0.63172,0.64621,0.31336,1.6802,1.54029,1.83848,0.000703,0.000703,0.000703
17,281.32,1.42753,1.51015,1.58494,0.5901,0.62396,0.66591,0.28654,1.84375,1.51649,1.97338,0.0006832,0.0006832,0.0006832
18,297.747,1.43191,1.48798,1.58534,0.71086,0.58114,0.67532,0.31654,1.72554,1.55394,1.85907,0.0006634,0.0006634,0.0006634
19,314.169,1.42463,1.49395,1.58224,0.70285,0.55801,0.63794,0.29789,1.72096,1.5576,1.83578,0.0006436,0.0006436,0.0006436
20,330.854,1.40245,1.47013,1.56872,0.57341,0.64452,0.66812,0.30069,1.75871,1.5302,1.86118,0.0006238,0.0006238,0.0006238
21,347.268,1.40752,1.42898,1.57116,0.58048,0.62145,0.66573,0.29357,1.78057,1.49923,1.86918,0.000604,0.000604,0.000604
22,363.672,1.39824,1.46203,1.56336,0.58995,0.63922,0.68372,0.32088,1.7179,1.44062,1.80882,0.0005842,0.0005842,0.0005842
23,380.201,1.38243,1.43528,1.55015,0.67634,0.57364,0.62314,0.28884,1.78775,1.63068,1.85309,0.0005644,0.0005644,0.0005644
24,396.76,1.39168,1.41921,1.55045,0.62875,0.58821,0.65579,0.32123,1.69759,1.51242,1.82427,0.0005446,0.0005446,0.0005446
25,413.356,1.3722,1.37701,1.53102,0.60138,0.64606,0.67442,0.31324,1.74844,1.46411,1.88217,0.0005248,0.0005248,0.0005248
26,429.742,1.36164,1.37362,1.54072,0.57795,0.67578,0.64138,0.31945,1.6455,1.50503,1.79787,0.000505,0.000505,0.000505
27,446.254,1.35774,1.36527,1.52539,0.6003,0.68381,0.68442,0.34242,1.62869,1.43521,1.77065,0.0004852,0.0004852,0.0004852
28,462.808,1.38406,1.37703,1.5405,0.61878,0.69346,0.727,0.34843,1.66795,1.41993,1.78713,0.0004654,0.0004654,0.0004654
29,479.35,1.35166,1.35812,1.52012,0.67363,0.69226,0.72737,0.35927,1.62422,1.39467,1.76013,0.0004456,0.0004456,0.0004456
30,495.76,1.35796,1.36145,1.53312,0.5919,0.6764,0.68882,0.33767,1.63873,1.48785,1.75746,0.0004258,0.0004258,0.0004258
31,512.117,1.31293,1.32587,1.50648,0.65296,0.65621,0.72033,0.35226,1.64514,1.35707,1.76521,0.000406,0.000406,0.000406
32,528.263,1.33206,1.34082,1.5074,0.62336,0.68592,0.71864,0.34236,1.67396,1.38587,1.7836,0.0003862,0.0003862,0.0003862
33,544.446,1.30569,1.29198,1.48779,0.62483,0.66737,0.72678,0.35681,1.63473,1.39076,1.76168,0.0003664,0.0003664,0.0003664
34,560.598,1.32947,1.28987,1.50865,0.63641,0.65372,0.69553,0.32567,1.77071,1.34937,1.82379,0.0003466,0.0003466,0.0003466
35,576.876,1.33353,1.30631,1.517,0.64867,0.68395,0.72131,0.35724,1.62319,1.35171,1.7543,0.0003268,0.0003268,0.0003268
36,593.023,1.303,1.29889,1.50683,0.63492,0.68301,0.74033,0.376,1.59645,1.33045,1.74729,0.000307,0.000307,0.000307
37,609.132,1.2809,1.27383,1.48432,0.62173,0.67923,0.73232,0.357,1.63516,1.33914,1.7437,0.0002872,0.0002872,0.0002872
38,625.298,1.3147,1.26511,1.4895,0.65048,0.65976,0.7253,0.35638,1.61408,1.32505,1.77468,0.0002674,0.0002674,0.0002674
39,641.732,1.30612,1.27218,1.48483,0.61788,0.69994,0.7222,0.36887,1.5854,1.3312,1.71823,0.0002476,0.0002476,0.0002476
40,657.989,1.26947,1.24085,1.47201,0.66092,0.66969,0.72653,0.35758,1.66899,1.31878,1.76931,0.0002278,0.0002278,0.0002278
41,674.793,1.31937,1.24226,1.54475,0.69528,0.69585,0.74598,0.37045,1.601,1.30876,1.76423,0.000208,0.000208,0.000208
42,691.102,1.29553,1.16947,1.52127,0.65047,0.68757,0.73583,0.36226,1.62628,1.31645,1.76163,0.0001882,0.0001882,0.0001882
43,707.261,1.27152,1.15127,1.50684,0.66174,0.69617,0.72537,0.37594,1.57903,1.32591,1.73955,0.0001684,0.0001684,0.0001684
44,723.238,1.25591,1.12111,1.49518,0.65331,0.67739,0.7331,0.36747,1.59131,1.30476,1.74786,0.0001486,0.0001486,0.0001486
45,739.249,1.24549,1.10567,1.49811,0.67645,0.69458,0.74769,0.38125,1.57689,1.29022,1.70984,0.0001288,0.0001288,0.0001288
46,755.387,1.24321,1.09459,1.49325,0.71419,0.7052,0.7685,0.38087,1.59146,1.27111,1.72668,0.000109,0.000109,0.000109
47,771.402,1.24574,1.09024,1.4912,0.72379,0.68721,0.76178,0.38395,1.59571,1.28861,1.72398,8.92e-05,8.92e-05,8.92e-05
48,787.453,1.23342,1.0669,1.48527,0.7019,0.68924,0.7583,0.40054,1.54647,1.27449,1.70154,6.94e-05,6.94e-05,6.94e-05
49,803.535,1.2077,1.06498,1.46756,0.69938,0.7028,0.75632,0.39147,1.57534,1.28283,1.71283,4.96e-05,4.96e-05,4.96e-05
50,819.61,1.20993,1.06892,1.4623,0.68931,0.7064,0.76184,0.39457,1.57801,1.27999,1.71102,2.98e-05,2.98e-05,2.98e-05
